34,CHIS,Quercus dumosa,Nuttall's Scrub Oak,121,"Tree,Shrub",//calscape.org/Quercus-dumosa-(),//calscape.org/qrcodes/Quercus-dumosa(192)
35,CHIS,Pinus radiata,Monterey Pine,125,Tree,//calscape.org/Pinus-radiata-(),//calscape.org/qrcodes/Pinus-radiata(192)
36,CHIS,Baccharis salicifolia,Mulefat,127,Shrub,//calscape.org/Baccharis-salicifolia-(),//calscape.org/qrcodes/Baccharis-salicifolia(192)
37,CHIS,Malva assurgentiflora,Malva Rosa,131,Shrub,//calscape.org/Malva-assurgentiflora-(),//calscape.org/qrcodes/Malva-assurgentiflora(192)
38,CHIS,Dendromecon rigida,Bush Poppy,132,Shrub,//calscape.org/Dendromecon-rigida-(),//calscape.org/qrcodes/Dendromecon-rigida(192)
39,CHIS,Carex tumulicola,Foothill Sedge,138,Grasses,//calscape.org/Carex-tumulicola-(),//calscape.org/qrcodes/Carex-tumulicola(192)
40,CHIS,Clematis ligusticifolia,Virgin's Bower,139,"Vine,Perennial herb",//calscape.org/Clematis-ligusticifolia-(),//calscape.org/qrcodes/Clematis-ligusticifolia(192)
41,CHIS,Salix laevigata,Red Willow,141,Tree,//calscape.org/Salix-laevigata-(),//calscape.org/qrcodes/Salix-laevigata(192)
42,CHIS,Encelia californica,Bush Sunflower,142,Shrub,//calscape.org/Encelia-californica-(),//calscape.org/qrcodes/Encelia-californica(192)
43,CHIS,Eschscholzia californica,California Poppy,146,"Annual herb,Perennial herb",//calscape.org/Eschscholzia-californica-(),//calscape.org/qrcodes/Eschscholzia-californica(192)
44,CHIS,Woodwardia fimbriata,Giant Chain Fern,148,Fern,//calscape.org/Woodwardia-fimbriata-(),//calscape.org/qrcodes/Woodwardia-fimbriata(192)
45,CHIS,Berberis pinnata,Coast Barberry,150,Shrub,//calscape.org/Berberis-pinnata-(),//calscape.org/qrcodes/Berberis-pinnata(192)
46,CHIS,Malacothamnus fasciculatus,Chaparral Mallow,154,Shrub,//calscape.org/Malacothamnus-fasciculatus-(),//calscape.org/qrcodes/Malacothamnus-fasciculatus(192)
47,CHIS,Artemisia californica,California Sagebrush,155,Shrub,//calscape.org/Artemisia-californica-(),//calscape.org/qrcodes/Artemisia-californica(192)
48,CHIS,Silene laciniata ssp. laciniata,Cardinal Catchfly,158,"Annual herb,Perennial herb",//calscape.org/Silene-laciniata-ssp.-laciniata-(),//calscape.org/qrcodes/Silene-laciniata-ssp.-laciniata(192)
49,CHIS,Adiantum capillus-veneris,Southern Maiden Hair,161,Fern,//calscape.org/Adiantum-capillus-veneris-(),//calscape.org/qrcodes/Adiantum-capillus-veneris(192)
50,CHIS,Eriogonum grande,Redflower Buckwheat,164,Perennial herb,//calscape.org/Eriogonum-grande-(),//calscape.org/qrcodes/Eriogonum-grande(192)
51,CHIS,Lupinus succulentus,Succulent Lupine,170,Annual Herb,//calscape.org/Lupinus-succulentus-(),//calscape.org/qrcodes/Lupinus-succulentus(192)
52,CHIS,Polystichum munitum,Sword Fern,171,Fern,//calscape.org/Polystichum-munitum-(),//calscape.org/qrcodes/Polystichum-munitum(192)
53,CHIS,Rosa californica,California Wildrose,174,Shrub,//calscape.org/Rosa-californica-(),//calscape.org/qrcodes/Rosa-californica(192)
54,CHIS,Eriophyllum confertiflorum,Golden Yarrow,179,"Annual herb,Perennial herb,Shrub",//calscape.org/Eriophyllum-confertiflorum-(),//calscape.org/qrcodes/Eriophyllum-confertiflorum(192)
55,CHIS,Pickeringia montana,Chaparral Pea,181,Shrub,//calscape.org/Pickeringia-montana-(),//calscape.org/qrcodes/Pickeringia-montana(192)
56,CHIS,Adenostoma fasciculatum,Chamise,183,Shrub,//calscape.org/Adenostoma-fasciculatum-(),//calscape.org/qrcodes/Adenostoma-fasciculatum(192)
57,CHIS,Rhamnus crocea,Spiny Redberry,185,Shrub,//calscape.org/Rhamnus-crocea-(),//calscape.org/qrcodes/Rhamnus-crocea(192)
58,CHIS,Lepechinia fragrans,Fragrant Pitcher Sage,188,Shrub,//calscape.org/Lepechinia-fragrans-(),//calscape.org/qrcodes/Lepechinia-fragrans(192)
59,CHIS,Phacelia grandiflora,Large Flowered Phacelia,190,Annual herb,//calscape.org/Phacelia-grandiflora-(),//calscape.org/qrcodes/Phacelia-grandiflora(192)
60,CHIS,Stipa pulchra,Purple Needlegrass,195,Grasses,//calscape.org/Stipa-pulchra-(),//calscape.org/qrcodes/Stipa-pulchra(192)
61,CHIS,Asclepias fascicularis,Narrow Leaf Milkweed,202,Perennial herb,//calscape.org/Asclepias-fascicularis-(),//calscape.org/qrcodes/Asclepias-fascicularis(192)
