Species ID,Park Name,Category,Order,Family,Scientific Name,Common Names,Record Status,Occurrence,Nativeness,Abundance,Seasonality,Conservation Status
CHIS-1039,Channel Islands National Park,Mammal,Chiroptera,Vespertilionidae,Plecotus townsendii townsendii,Townsend's Big-Eared Bat,Approved,Present,Native,Uncommon,,Species of Concern
CHIS-1040,Channel Islands National Park,Mammal,Lagomorpha,Leporidae,Oryctolagus cuniculus,European Rabbit,Approved,Not Present (Historical Report),Not Native,,,
CHIS-1041,Channel Islands National Park,Mammal,Rodentia,Cricetidae,Peromyscus maniculatus,Deer Mouse,Approved,Present,Native,Uncommon,Breeder,
CHIS-1042,Channel Islands National Park,Mammal,Rodentia,Cricetidae,Reithrodontomys megalotis,Western Harvest Mouse,Approved,Present,Native,Unknown,Breeder,
CHIS-1043,Channel Islands National Park,Mammal,Rodentia,Muridae,Rattus rattus,Black Rat,Approved,Present,Not Native,Unknown,Breeder,
CHIS-1044,Channel Islands National Park,Bird,Accipitriformes,Accipitridae,Accipiter cooperii,Cooper's Hawk,Approved,Present,Native,Occasional,Breeder,Species of Concern
CHIS-1045,Channel Islands National Park,Bird,Accipitriformes,Accipitridae,Accipiter gentilis,Northern Goshawk,Approved,Present,Native,Occasional,Vagrant,
CHIS-1046,Channel Islands National Park,Bird,Accipitriformes,Accipitridae,Accipiter striatus,Sharp-Shinned Hawk,Approved,Present,Native,Uncommon,Migratory,Species of Concern
CHIS-1047,Channel Islands National Park,Bird,Accipitriformes,Accipitridae,Aquila chrysaetos,Golden Eagle,Approved,Present,Native,Rare,Breeder,Species of Concern
CHIS-1048,Channel Islands National Park,Bird,Accipitriformes,Accipitridae,Buteo jamaicensis,Red-Tailed Hawk,Approved,Present,Native,Common,Breeder,
CHIS-1049,Channel Islands National Park,Bird,Accipitriformes,Accipitridae,Buteo lagopus,Rough-Legged Hawk,Approved,Present,Native,Occasional,Vagrant,Species of Concern
CHIS-1050,Channel Islands National Park,Bird,Accipitriformes,Accipitridae,Buteo swainsoni,Swainson's Hawk,Approved,Present,Native,Occasional,Vagrant,
CHIS-1051,Channel Islands National Park,Bird,Accipitriformes,Accipitridae,Circus cyaneus,Northern Harrier,Approved,Present,Native,Rare,Migratory,Species of Concern
CHIS-1052,Channel Islands National Park,Bird,Accipitriformes,Accipitridae,Elanus leucurus,White-Tailed Kite,Approved,Present,Native,Occasional,Vagrant,Species of Concern
CHIS-1053,Channel Islands National Park,Bird,Accipitriformes,Accipitridae,Haliaeetus leucocephalus,Bald Eagle,Approved,Not Present (Historical Report),Native,,,In Recovery
CHIS-1054,Channel Islands National Park,Bird,Accipitriformes,Pandionidae,Pandion haliaetus,Osprey,Approved,Present,Native,Occasional,Migratory,Species of Concern
CHIS-1055,Channel Islands National Park,Bird,Anseriformes,Anatidae,Aix sponsa,Wood Duck,Approved,Present,Native,Occasional,Vagrant,
CHIS-1056,Channel Islands National Park,Bird,Anseriformes,Anatidae,Anas acuta,Northern Pintail,Approved,Present,Native,Occasional,Migratory,
CHIS-1057,Channel Islands National Park,Bird,Anseriformes,Anatidae,Anas americana,American Wigeon,Approved,Present,Native,Common,Migratory,
CHIS-1058,Channel Islands National Park,Bird,Anseriformes,Anatidae,Anas clypeata,Northern Shoveler,Approved,Present,Native,Occasional,Vagrant,
CHIS-1059,Channel Islands National Park,Bird,Anseriformes,Anatidae,Anas crecca,Green-Winged Teal,Approved,Present,Native,Common,Migratory,
CHIS-1060,Channel Islands National Park,Bird,Anseriformes,Anatidae,Anas cyanoptera,Cinnamon Teal,Approved,Present,Native,Uncommon,Migratory,
CHIS-1061,Channel Islands National Park,Bird,Anseriformes,Anatidae,Anas discors,Blue-Winged Teal,Approved,Present,Native,Rare,Vagrant,
CHIS-1062,Channel Islands National Park,Bird,Anseriformes,Anatidae,Anas penelope,Eurasian Wigeon,Approved,Present,Native,Occasional,Vagrant,
CHIS-1063,Channel Islands National Park,Bird,Anseriformes,Anatidae,Anas platyrhynchos,Mallard,Approved,Present,Native,Rare,Breeder,
CHIS-1064,Channel Islands National Park,Bird,Anseriformes,Anatidae,Anser albifrons,Greater White-Fronted Goose,Approved,Present,Native,Rare,Vagrant,
CHIS-1065,Channel Islands National Park,Bird,Anseriformes,Anatidae,Aythya affinis,Lesser Scaup,Approved,Present,Native,Occasional,Vagrant,Species of Concern
CHIS-1066,Channel Islands National Park,Bird,Anseriformes,Anatidae,Aythya americana,Redhead,Approved,Present,Native,Occasional,Vagrant,
CHIS-1067,Channel Islands National Park,Bird,Anseriformes,Anatidae,Aythya collaris,Ring-Necked Duck,Approved,Present,Native,Occasional,Vagrant,
CHIS-1068,Channel Islands National Park,Bird,Anseriformes,Anatidae,Aythya valisineria,Canvasback,Approved,Present,Native,Occasional,Vagrant,
CHIS-1069,Channel Islands National Park,Bird,Anseriformes,Anatidae,Branta bernicla,Brant,Approved,Present,Native,Rare,Migratory,
CHIS-1070,Channel Islands National Park,Bird,Anseriformes,Anatidae,Branta canadensis,Canada Goose,Approved,Present,Native,Rare,Migratory,
